id_municipio;municipio
1322;Constantina
1323;Contagem
1324;Contenda
1325;Contendas do Sincorá
1326;Coqueiral
1327;Coqueiro Baixo
1328;Coqueiro Seco
1329;Coqueiros do Sul
1330;Coração de Jesus
1331;Coração de Maria
1332;Corbélia
1333;Cordeiro
1334;Cordeiros
1335;Cordeirópolis
1336;Cordilheira Alta
1337;Cordisburgo
1338;Cordislândia
1339;Coreaú
1340;Coremas
1341;Corguinho
1342;Coribe
1343;Corinto
1344;Cornélio Procópio
1345;Coroaci
1346;Coroados
1347;Coroatá
1348;Coromandel
1349;Coronel Barros
1350;Coronel Bicaco
1351;Coronel Domingos Soares
1352;Coronel Ezequiel
1353;Coronel Fabriciano
1354;Coronel Freitas
1355;Coronel José Dias
1356;Coronel João Pessoa
1357;Coronel João sá
1358;Coronel Macedo
1359;Coronel Martins
1360;Coronel Murta
1361;Coronel Pacheco
1362;Coronel Pilar
1363;Coronel Sapucaia
1364;Coronel Vivida
1365;Coronel Xavier Chaves
1366;Correia Pinto
1367;Corrente
1368;Correntes
1369;Correntina
1370;Cortês
1371;Corumbataí
1372;Corumbataí do Sul
1373;Corumbaíba
1374;Corumbiara
1375;Corumbá
1376;Corumbá de Goiás
1377;Corupá
1378;Coruripe
1379;Cosmorama
1380;Cosmópolis
1381;Costa Marques
1382;Costa Rica
1383;Cotegipe
1384;Cotia
1385;Cotiporã
1386;Cotriguaçu
1387;Couto de Magalhães
1388;Couto de Magalhães de Minas
1389;Coxilha
1390;Coxim
1391;Coxixola
1392;Crateús
1393;Crato
1394;Cravinhos
1395;Cravolândia
1396;Craíbas
1397;Criciúma
1398;Crissiumal
1399;Cristais
1400;Cristais Paulista
1401;Cristal
1402;Cristal do Sul
1403;Cristalina
1404;Cristalândia
1405;Cristalândia do Piauí
1406;Cristiano Otoni
1407;Cristianópolis
1408;Cristina
1409;Cristino Castro
1410;Cristinápolis
1411;Cristália
1412;Cristópolis
1413;Crisólita
1414;Crisópolis
1415;Crixás
1416;Crixás do Tocantins
1417;Croatá
1418;Cromínia
1419;Crucilândia
1420;Cruz
1421;Cruz Alta
1422;Cruz Das Almas
