;codigo_ibg;freq;Ano
18737;3505708;1;2013
18738;3505807;1;2013
18739;3505906;8;2013
18740;3506003;206;2013
18741;3506359;8;2013
18742;3506508;6;2013
18743;3506805;1;2013
18744;3507001;12;2013
18745;3507100;1;2013
18746;3507407;2;2013
18747;3507506;21;2013
18748;3507605;47;2013
18749;3507902;1;2013
18750;3508504;10;2013
18751;3508702;1;2013
18752;3508801;1;2013
18753;3509205;1;2013
18754;3509254;1;2013
18755;3509502;21;2013
18756;3509908;1;2013
18757;3510005;1;2013
18758;3510401;30;2013
18759;3510500;23;2013
18760;3510609;1;2013
18761;3510807;1;2013
18762;3511102;1;2013
18763;3511508;1;2013
18764;3511607;2;2013
18765;3512209;2;2013
18766;3512308;1;2013
18767;3512803;5;2013
18768;3513009;1;2013
18769;3513108;6;2013
18770;3513207;2;2013
18771;3513405;1;2013
18772;3513504;16;2013
18773;3513702;2;2013
18774;3513801;67;2013
18775;3514403;3;2013
18776;3514908;1;2013
18777;3515004;44;2013
18778;3515103;2;2013
18779;3515186;1;2013
18780;3515509;7;2013
18781;3515657;1;2013
18782;3515707;2;2013
18783;3516200;45;2013
18784;3516309;5;2013
18785;3516408;10;2013
18786;3516606;1;2013
18787;3517406;2;2013
18788;3518305;2;2013
18789;3518404;6;2013
18790;3518701;134;2013
18791;3518800;127;2013
18792;3519303;2;2013
18793;3519600;5;2013
18794;3519709;3;2013
18795;3519808;1;2013
18796;3520509;19;2013
18797;3520905;6;2013
18798;3521309;1;2013
18799;3521804;2;2013
18800;3521903;50;2013
18801;3522109;5;2013
18802;3522208;12;2013
18803;3522406;9;2013
18804;3522505;2;2013
18805;3522604;14;2013
18806;3522703;2;2013
18807;3523107;2;2013
18808;3523206;3;2013
18809;3523404;11;2013
18810;3523503;1;2013
18811;3523602;6;2013
18812;3524303;1;2013
18813;3524402;52;2013
18814;3524600;1;2013
18815;3524808;20;2013
18816;3525003;9;2013
18817;3525300;9;2013
18818;3525904;24;2013
18819;3526803;6;2013
18820;3526902;39;2013
18821;3527108;8;2013
18822;3527306;1;2013
18823;3529005;44;2013
18824;3529203;2;2013
